mm_gene_id	mm_FL_D1_1	mm_FL_D1_2	mm_FL_D1_3	mm_FL_D2_1	mm_FL_D2_2	mm_FL_D2_3	mm_FL_D3_1	mm_FL_D3_2	mm_FL_D3_3	mm_FL_D4_1	mm_FL_D4_2	mm_FL_D4_3	mm_FL_D5_1	mm_FL_D5_2	mm_FL_D5_3
ENSMUSG00000000001	6045	8137	8101	7981	9721	5631	7150	6477	6480	8527	14014	8834	10615	7982	8201
ENSMUSG00000000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	1152	1463	1331	1355	1418	763	1107	907	942	1520	1921	1217	2037	1385	1441
ENSMUSG00000000031	111313	154064	124333	123716	164600	76813	85367	102849	106182	112065	223878	178329	189955	125001	142751
ENSMUSG00000000037	723	914	818	830	865	543	511	497	584	635	1189	678	907	669	771
ENSMUSG00000000049	0	0	0	3	0	1	0	0	0	0	1	0	1	0	0
ENSMUSG00000000056	3268	3982	3825	4014	4574	2610	3345	2873	2962	3923	6479	4153	4896	3677	3939
ENSMUSG00000000058	188	292	304	243	278	190	222	195	223	246	502	276	246	267	235
ENSMUSG00000000078	1305	1560	1352	1759	1818	1098	1286	1209	1223	1424	3025	1906	1527	1349	1719
ENSMUSG00000000085	1316	1716	1565	1693	1786	971	1388	1219	1229	1549	2841	1829	1783	1530	1838
ENSMUSG00000000088	2300	2203	2386	2341	2628	1506	1755	1787	1510	2417	4021	2269	4303	2541	2105
ENSMUSG00000000093	938	1170	799	725	652	427	860	566	778	2589	4326	2420	4743	3516	4571
ENSMUSG00000000094	412	499	508	887	981	521	706	689	695	908	1567	999	1123	836	985
ENSMUSG00000000103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	3020	3379	3601	2390	2195	1533	1693	1399	1488	1538	3589	2296	2209	1974	2619
ENSMUSG00000000125	773	877	663	793	783	449	650	461	569	564	1234	782	641	653	819
ENSMUSG00000000126	142	174	131	205	245	177	185	209	197	216	442	370	356	182	312
ENSMUSG00000000127	704	794	740	821	1125	557	793	604	676	712	1401	973	905	666	793
ENSMUSG00000000131	4254	4987	4306	4526	4561	2929	3596	3108	3321	3999	7288	4985	5487	4338	5170
ENSMUSG00000000134	1370	1580	1241	1412	1555	958	1180	1113	1136	1375	2524	1779	1712	1274	1667
ENSMUSG00000000142	5674	6612	6145	5091	4810	3247	4093	3243	3525	4346	7987	4906	5343	4295	6212
ENSMUSG00000000148	815	972	827	1026	950	602	834	679	734	836	1485	1089	1121	798	1023
ENSMUSG00000000149	3539	4064	3289	3859	3690	2534	2923	2584	2616	3748	6063	4285	4721	3454	4208
ENSMUSG00000000154	25	13	14	9	10	8	20	14	18	19	50	46	37	30	35
ENSMUSG00000000157	7	0	13	2	2	0	5	0	2	5	0	0	7	0	4
ENSMUSG00000000159	0	0	0	0	0	1	0	0	1	0	0	0	0	0	7
ENSMUSG00000000167	59	47	70	64	67	36	60	46	45	50	86	45	88	58	83
ENSMUSG00000000168	1527	1930	1882	2012	2109	1280	1725	1522	1442	2024	3237	2103	2589	1841	2304
ENSMUSG00000000171	2382	2602	2692	2865	2903	1632	2261	1918	1952	2935	4354	2697	4109	2713	2589
ENSMUSG00000000182	0	9	13	7	6	7	4	16	6	6	22	5	14	0	11
ENSMUSG00000000183	4	4	15	0	11	6	4	10	8	4	30	25	5	5	2
ENSMUSG00000000184	25660	36565	28245	50618	55044	33398	49656	44707	45841	51570	82415	56243	65914	46976	55828
ENSMUSG00000000194	1964	2421	2192	2388	2487	1530	1983	1825	1863	2183	3810	2857	2638	1999	2385
ENSMUSG00000000197	51	52	28	58	87	42	48	55	73	91	170	82	106	81	132
ENSMUSG00000000202	5	0	12	5	11	5	1	4	9	13	21	21	9	4	24
ENSMUSG00000000204	0	0	1	0	3	1	1	1	0	0	1	0	0	3	5
ENSMUSG00000000214	1	5	11	0	2	1	0	0	1	0	3	0	2	0	0
ENSMUSG00000000215	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ENSMUSG00000000216	11	5	14	27	14	9	23	16	11	17	40	22	19	27	20
ENSMUSG00000000223	649	916	757	686	756	407	557	520	633	571	1305	840	736	632	836
ENSMUSG00000000244	30	38	27	33	31	12	26	30	17	34	58	35	26	11	35
ENSMUSG00000000247	3876	4084	3606	4753	4336	2964	3497	2912	2809	4610	6923	4511	4355	3049	3639
ENSMUSG00000000248	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000000253	324	277	339	420	454	255	262	253	230	338	530	357	432	328	361
ENSMUSG00000000263	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0
ENSMUSG00000000266	508	709	614	564	801	483	537	473	509	418	1074	706	479	544	655
ENSMUSG00000000275	258	369	310	266	300	180	245	172	201	178	366	319	224	136	264
ENSMUSG00000000276	759	925	764	1025	1112	574	843	626	886	734	1400	782	1145	800	886
ENSMUSG00000000278	1856	1996	1935	1948	2249	1299	1548	1576	1687	2028	3261	2305	2707	1910	2061
ENSMUSG00000000282	1387	1616	1491	1413	1540	915	1186	1098	1060	1313	2460	1639	1649	1123	1595
ENSMUSG00000000290	39	23	46	29	40	15	35	13	17	18	59	50	25	13	39
ENSMUSG00000000295	641	704	908	895	950	525	636	640	626	940	1366	789	1392	910	761
ENSMUSG00000000296	280	338	275	404	511	262	365	334	344	414	579	469	577	346	344
ENSMUSG00000000301	64	48	50	49	30	28	30	26	35	53	81	39	70	40	55
ENSMUSG00000000303	1525	1771	1555	1411	1665	905	1218	818	1158	1184	2910	1615	1330	1299	1960
ENSMUSG00000000305	1142	1771	1609	866	1120	689	693	974	920	719	2012	1387	1036	701	1151
ENSMUSG00000000308	5	6	9	11	14	7	13	16	12	17	192	25	32	35	35
ENSMUSG00000000317	313	440	406	334	331	231	284	272	290	278	552	453	392	230	349
ENSMUSG00000000318	9	11	15	1	0	4	0	4	1	0	3	5	3	0	1
ENSMUSG00000000320	68	118	106	96	115	68	110	87	60	88	272	113	90	98	115
ENSMUSG00000000325	1935	1755	1701	1923	1751	1108	1435	1164	1274	1770	2729	1685	2386	1693	1921
ENSMUSG00000000326	1185	1380	1211	1344	1532	848	1077	1069	1103	1225	2223	1607	1706	1227	1398
ENSMUSG00000000339	1202	1187	1369	1220	1381	773	1018	860	912	1260	2201	1302	1927	1181	1185
ENSMUSG00000000340	787	1151	1127	1140	1411	766	903	915	876	1056	1916	1237	1385	1024	1125
ENSMUSG00000000346	3440	3611	3945	4479	5049	2857	3675	3266	3245	4516	7595	4967	5659	4037	4363
ENSMUSG00000000355	946	1237	1237	1183	1435	822	1023	953	992	1226	1900	1065	1608	1083	1176
ENSMUSG00000000359	12	16	24	15	11	5	0	11	7	6	16	16	12	10	6
ENSMUSG00000000365	45	42	60	26	52	24	33	30	38	36	50	50	45	24	44
ENSMUSG00000000374	1760	2229	1675	2042	2156	1273	1627	1600	1585	1883	3299	2338	2434	1871	2272
ENSMUSG00000000378	1195	1274	1274	1317	1410	825	1074	1071	927	1525	2177	1441	1746	1310	1463
ENSMUSG00000000381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000384	1468	1537	1494	1574	1504	1003	1452	1136	1163	1537	2369	1654	2005	1390	1676
ENSMUSG00000000385	38	14	20	24	31	23	26	16	32	12	53	31	19	20	34
ENSMUSG00000000386	51	14	1	12	9	10	3	4	6	13	18	4	8	6	18
ENSMUSG00000000392	557	662	403	900	1224	669	678	582	763	524	1666	1029	268	378	431
ENSMUSG00000000394	3	11	5	10	7	12	7	2	5	16	12	1	25	2	13
ENSMUSG00000000399	1680	1832	2232	2170	2101	1297	1683	1395	1561	2362	3524	2265	3000	2060	2109
ENSMUSG00000000402	423	697	693	628	879	519	582	592	777	682	1758	1546	818	434	1158
ENSMUSG00000000409	161	196	230	270	310	190	247	187	243	340	460	338	343	221	287
ENSMUSG00000000411	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000000416	1547	2112	1782	1864	2074	1161	1209	1203	1279	1043	2489	2046	1637	1503	1901
ENSMUSG00000000420	3162	4073	4024	4581	5444	2890	3897	3902	3765	4569	8139	5031	5908	4016	4471
ENSMUSG00000000435	29	60	82	47	91	27	17	44	24	38	124	75	90	37	62
ENSMUSG00000000439	1083	1312	1287	1271	1555	851	1127	1045	1032	1324	2121	1297	1706	1127	1263
ENSMUSG00000000440	11	15	2	10	9	5	6	3	4	15	20	13	13	7	2
ENSMUSG00000000441	6355	7011	6557	6915	7380	4307	5537	4963	5309	6643	10875	6904	9243	6333	7327
ENSMUSG00000000486	454	417	411	417	463	300	340	361	300	359	669	427	570	394	443
ENSMUSG00000000489	370	391	309	334	323	199	350	259	254	294	686	413	323	249	336
ENSMUSG00000000530	288	379	376	307	372	198	259	234	265	323	691	472	285	314	343
ENSMUSG00000000531	682	663	714	820	873	583	734	662	705	946	1496	1060	1323	863	1123
ENSMUSG00000000532	1772	2072	1883	1997	1843	1117	1415	1248	1325	1420	2917	1833	2032	1802	1999
ENSMUSG00000000538	1384	1782	1491	1955	1889	1222	1586	1354	1516	1570	2972	2000	2032	1693	1866
ENSMUSG00000000544	103	113	78	58	68	34	33	34	49	65	71	50	41	38	34
ENSMUSG00000000552	1267	1391	1304	1248	1218	863	1126	1027	1043	1316	2333	1477	1371	1054	1425
